"package_lc","version","osv_id"
"fast-xml-parser","4.2.4","GHSA-gpv5-7x3g-ghjv"
"openclaw","2026.3.1","GHSA-h3rm-6x7g-882f"
"blingjs","0.0.4","GHSA-hfc6-79wv-5hpw"
"joplin","3.0.0","GHSA-hff8-hjwv-j9q7"
"fiora","1.0.0","GHSA-hg3j-6pmh-mvjr"
"flowise","3.0.5","GHSA-hr92-4q35-4j3m"
"eslint-scope","3.7.2","GHSA-hxxf-q3w9-4xgw"
"eslint-config-eslint","5.0.2","GHSA-hxxf-q3w9-4xgw"
"coffe-script","1.0.1","GHSA-j49g-mp79-5vm5"
"pensi-scheduler","1.1.3","GHSA-j4ch-mw66-xmqv"
"dictum.js","1.0.5","GHSA-j5jc-jf8f-86q7"
"jekyll-for-github-projects","0.2.12","GHSA-j5qg-46p9-w2rp"
"iie-viz","1.0.4","GHSA-jf55-rgpx-p6rx"
"@mistralai/mistralai","2.2.2","GHSA-jgg6-4rpr-wfh7"
"@mistralai/mistralai-azure","1.7.1","GHSA-jgg6-4rpr-wfh7"
"@mistralai/mistralai-gcp","1.7.1","GHSA-jgg6-4rpr-wfh7"
"@cap-js/openapi","1.4.1","GHSA-jpvj-wpmj-h7rv"
"prebid.js","10.9.2","GHSA-jwq7-6j4r-2f92"
"load-from-cwd-or-npm","3.0.2","GHSA-jxf5-7x3j-8j9m"
"awesome_react_utility","1.0.2","GHSA-m25q-fwg4-9v2p"
"vditor","3.10.3","GHSA-m5jf-8crm-r65m"
"sailclothjs","1.2.6","GHSA-m5pf-5894-jmx7"
"prebid-universal-creative","1.17.3","GHSA-m662-56rj-8fmm"
"cofeescript","1.0.1","GHSA-m6wh-m8m8-6xx5"
"libubx","1.0.3","GHSA-m7xv-7p93-g6q8"
"eslint-config-airbnb-standard","2.0.0","GHSA-m852-866j-69j8"
"coffescript","1.0.1","GHSA-mc9x-v9xg-25pm"
"hapi-auth-jwt2","5.1.1","GHSA-mg8r-9g6j-hwv9"
"eye.js","1.2.0","GHSA-mgv2-57vj-99xc"
"event-stream","3.3.6","GHSA-mh6f-8j2x-4483"
"jquery","3.0.0-rc.1","GHSA-mhpp-875w-9cpv"
"ssb-db","20.0.0","GHSA-mpgr-2cx9-327h"
"react-dom","16.0.0","GHSA-mvjj-gqq2-p4hw"
"n8n","2.14.0","GHSA-mxrg-77hm-89hv"
"geoheat","1.3.2","GHSA-p32g-242c-76h3"
"bmap","1.0.3","GHSA-p59g-6cqr-m73w"
"scroool","0.1.7","GHSA-p7w2-mc6m-mfx2"
"@strapi/strapi","4.24.4","GHSA-p9ff-j98v-p435"
